Year,Month,Month#,Project,Resource Type,Man-Hours
2026,June,6,AGONEWorkj,Product,0
2026,June,6,AGONEWorkj,UI/UX,0
2026,June,6,AGONEWorkj,Dev,0
2026,June,6,AGONEWorkj,QA,0
2026,June,6,OJE Safe,Product,0
2026,June,6,OJE Safe,UI/UX,0
2026,June,6,OJE Safe,Dev,0
2026,June,6,OJE Safe,QA,0
2026,June,6,ONe Learn,Product,0
2026,June,6,ONe Learn,UI/UX,0
2026,June,6,ONe Learn,Dev,0
2026,June,6,ONe Learn,QA,0
2026,June,6,Ne Pulse,Product,0
2026,June,6,Ne Pulse,UI/UX,0
2026,June,6,Ne Pulse,Dev,0
2026,June,6,Ne Pulse,QA,0
2026,June,6,AGONE,Product,0
2026,June,6,AGONE,UI/UX,0
2026,June,6,AGONE,Dev,0
2026,June,6,AGONE,QA,0
2026,July,7,AGONEWorkj,Product,0
2026,July,7,AGONEWorkj,UI/UX,0
2026,July,7,AGONEWorkj,Dev,0
2026,July,7,AGONEWorkj,QA,0
2026,July,7,OJE Safe,Product,0
2026,July,7,OJE Safe,UI/UX,0
2026,July,7,OJE Safe,Dev,0
2026,July,7,OJE Safe,QA,0
2026,July,7,ONe Learn,Product,0
2026,July,7,ONe Learn,UI/UX,0
2026,July,7,ONe Learn,Dev,0
2026,July,7,ONe Learn,QA,0
2026,July,7,Ne Pulse,Product,0
2026,July,7,Ne Pulse,UI/UX,0
2026,July,7,Ne Pulse,Dev,0
2026,July,7,Ne Pulse,QA,0
2026,July,7,AGONE,Product,0
2026,July,7,AGONE,UI/UX,0
2026,July,7,AGONE,Dev,0
2026,July,7,AGONE,QA,0
2026,August,8,AGONEWorkj,Product,0
2026,August,8,AGONEWorkj,UI/UX,0
2026,August,8,AGONEWorkj,Dev,0
2026,August,8,AGONEWorkj,QA,0
2026,August,8,OJE Safe,Product,0
2026,August,8,OJE Safe,UI/UX,0
2026,August,8,OJE Safe,Dev,0
2026,August,8,OJE Safe,QA,0
2026,August,8,ONe Learn,Product,0
2026,August,8,ONe Learn,UI/UX,0
2026,August,8,ONe Learn,Dev,0
2026,August,8,ONe Learn,QA,0
2026,August,8,Ne Pulse,Product,0
2026,August,8,Ne Pulse,UI/UX,0
2026,August,8,Ne Pulse,Dev,0
2026,August,8,Ne Pulse,QA,0
2026,August,8,AGONE,Product,0
2026,August,8,AGONE,UI/UX,0
2026,August,8,AGONE,Dev,0
2026,August,8,AGONE,QA,0
2026,September,9,AGONEWorkj,Product,0
2026,September,9,AGONEWorkj,UI/UX,0
2026,September,9,AGONEWorkj,Dev,0
2026,September,9,AGONEWorkj,QA,0
2026,September,9,OJE Safe,Product,0
2026,September,9,OJE Safe,UI/UX,0
2026,September,9,OJE Safe,Dev,0
2026,September,9,OJE Safe,QA,0
2026,September,9,ONe Learn,Product,0
2026,September,9,ONe Learn,UI/UX,0
2026,September,9,ONe Learn,Dev,0
2026,September,9,ONe Learn,QA,0
2026,September,9,Ne Pulse,Product,0
2026,September,9,Ne Pulse,UI/UX,0
2026,September,9,Ne Pulse,Dev,0
2026,September,9,Ne Pulse,QA,0
2026,September,9,AGONE,Product,0
2026,September,9,AGONE,UI/UX,0
2026,September,9,AGONE,Dev,0
2026,September,9,AGONE,QA,0
2026,October,10,AGONEWorkj,Product,0
2026,October,10,AGONEWorkj,UI/UX,0
2026,October,10,AGONEWorkj,Dev,0
2026,October,10,AGONEWorkj,QA,0
2026,October,10,OJE Safe,Product,0
2026,October,10,OJE Safe,UI/UX,0
2026,October,10,OJE Safe,Dev,0
2026,October,10,OJE Safe,QA,0
2026,October,10,ONe Learn,Product,0
2026,October,10,ONe Learn,UI/UX,0
2026,October,10,ONe Learn,Dev,0
2026,October,10,ONe Learn,QA,0
2026,October,10,Ne Pulse,Product,0
2026,October,10,Ne Pulse,UI/UX,0
2026,October,10,Ne Pulse,Dev,0
2026,October,10,Ne Pulse,QA,0
2026,October,10,AGONE,Product,0
2026,October,10,AGONE,UI/UX,0
2026,October,10,AGONE,Dev,0
2026,October,10,AGONE,QA,0
2026,November,11,AGONEWorkj,Product,0
2026,November,11,AGONEWorkj,UI/UX,0
2026,November,11,AGONEWorkj,Dev,0
2026,November,11,AGONEWorkj,QA,0
2026,November,11,OJE Safe,Product,0
2026,November,11,OJE Safe,UI/UX,0
2026,November,11,OJE Safe,Dev,0
2026,November,11,OJE Safe,QA,0
2026,November,11,ONe Learn,Product,0
2026,November,11,ONe Learn,UI/UX,0
2026,November,11,ONe Learn,Dev,0
2026,November,11,ONe Learn,QA,0
2026,November,11,Ne Pulse,Product,0
2026,November,11,Ne Pulse,UI/UX,0
2026,November,11,Ne Pulse,Dev,0
2026,November,11,Ne Pulse,QA,0
2026,November,11,AGONE,Product,0
2026,November,11,AGONE,UI/UX,0
2026,November,11,AGONE,Dev,0
2026,November,11,AGONE,QA,0
2026,December,12,AGONEWorkj,Product,0
2026,December,12,AGONEWorkj,UI/UX,0
2026,December,12,AGONEWorkj,Dev,0
2026,December,12,AGONEWorkj,QA,0
2026,December,12,OJE Safe,Product,0
2026,December,12,OJE Safe,UI/UX,0
2026,December,12,OJE Safe,Dev,0
2026,December,12,OJE Safe,QA,0
2026,December,12,ONe Learn,Product,0
2026,December,12,ONe Learn,UI/UX,0
2026,December,12,ONe Learn,Dev,0
2026,December,12,ONe Learn,QA,0
2026,December,12,Ne Pulse,Product,0
2026,December,12,Ne Pulse,UI/UX,0
2026,December,12,Ne Pulse,Dev,0
2026,December,12,Ne Pulse,QA,0
2026,December,12,AGONE,Product,0
2026,December,12,AGONE,UI/UX,0
2026,December,12,AGONE,Dev,0
2026,December,12,AGONE,QA,0
