Resource Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL TOTAL
Product,0,0,0,0,0,0,0,0,0,0,0,0,0
UI/UX,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev,0,0,0,0,0,0,0,0,0,0,0,0,0
QA,0,0,0,0,0,0,0,0,0,0,0,0,0
PROJECT TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0

--- OJE Safe ---
Resource Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL TOTAL
Product,0,0,0,0,0,0,0,0,0,0,0,0,0
UI/UX,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev,0,0,0,0,0,0,0,0,0,0,0,0,0
QA,0,0,0,0,0,0,0,0,0,0,0,0,0
PROJECT TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0

--- ONe Learn ---
Resource Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL TOTAL
Product,0,0,0,0,0,0,0,0,0,0,0,0,0
UI/UX,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev,0,0,0,0,0,0,0,0,0,0,0,0,0
QA,0,0,0,0,0,0,0,0,0,0,0,0,0
PROJECT TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0

--- Ne Pulse ---
Resource Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL TOTAL
Product,0,0,0,0,0,0,0,0,0,0,0,0,0
UI/UX,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev,0,0,0,0,0,0,0,0,0,0,0,0,0
QA,0,0,0,0,0,0,0,0,0,0,0,0,0
PROJECT TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0

--- AGONE ---
Resource Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL TOTAL
Product,0,0,0,0,0,0,0,0,0,0,0,0,0
UI/UX,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev,0,0,0,0,0,0,0,0,0,0,0,0,0
QA,0,0,0,0,0,0,0,0,0,0,0,0,0
PROJECT TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0

